Geometry,Freq (Hz),Range,Time Slot (s),channel,ISI,
VL,0.6,1,0.06,Rx0,0.00723922,
VL,0.6,1,0.06,Rx0,0.0115333,
VL,0.6,1,0.06,Rx0,0.00381429,
VL,0.6,1,0.06,Rx0,0.0121273,
VL,0.6,1,0.06,Rx0,0.0474937,
VL,0.6,1,0.06,Rx0,0.000524557,
VL,0.6,1,0.06,Rx0,0.00429729,
VL,0.6,1,0.06,Rx0,0.00212177,
VL,0.6,1,0.06,Rx0,0.0184536,
VL,0.6,1,0.06,Rx0,0.14054,
VL,0.6,1,0.06,Rx0,0.0383669,
VL,0.6,1,0.06,Rx0,0.0466603,
VL,0.6,1,0.06,Rx0,0.0383529,
VL,0.6,1,0.06,Rx0,0.0316336,
VL,0.6,1,0.06,Rx0,0.0409031,
VL,0.6,1,0.06,Rx0,0.00342106,
VL,0.6,1,0.06,Rx0,0.00316233,
VL,0.6,1,0.06,Rx0,0.00726162,
VL,0.6,1,0.06,Rx0,0.0304642,
VL,0.6,1,0.06,Rx0,0.0018244,
VL,0.6,1,0.06,Rx0,0.00897142,
VL,0.6,1,0.06,Rx0,0.0166509,
VL,0.6,1,0.06,Rx0,0.00610249,
VL,0.6,1,0.06,Rx0,0.0707202,
VL,0.6,1,0.06,Rx0,0.00912366,
VL,0.6,1,0.06,Rx0,0.00480232,
VL,0.6,1,0.06,Rx0,0.0429114,
VL,0.6,1,0.06,Rx0,0.00558079,
VL,0.6,1,0.06,Rx0,0.0631241,
VL,0.6,1,0.06,Rx0,0.00017951,
VL,0.6,1,0.06,Rx0,0.00700826,
VL,0.6,1,0.06,Rx0,0.0152147,
VL,0.6,1,0.06,Rx0,0.00551368,
VL,0.6,1,0.06,Rx0,0.0188623,
VL,0.6,1,0.06,Rx0,0.000707722,
VL,0.6,1,0.06,Rx0,0.0734116,
VL,0.6,1,0.06,Rx0,0.00412907,
VL,0.6,1,0.06,Rx0,6.26252e-05,
VL,0.6,1,0.06,Rx0,0.0132669,
